stateid,weekid,dose1,dose2
UT,22,218938,37386
UT,23,616128,35808
UT,24,238405,95017
UT,25,235014,127012
UT,26,136605,175502
UT,27,174450,150844
UT,28,260427,119842
UT,29,552522,138712
UT,30,472556,147531
WB,1,43180,0
WB,2,170838,0
WB,3,109807,0
WB,4,156918,1084
WB,5,139586,43442
WB,6,333553,94321
WB,7,346056,98781
WB,8,692572,120181
WB,9,1049236,123596
WB,10,1101115,131092
WB,11,1117185,95717
WB,12,1712540,210368
WB,13,604468,244081
WB,14,650094,548644
WB,15,462854,656799
WB,16,133761,760535
WB,17,131345,589347
WB,18,318896,96990
WB,19,1133002,49083
WB,20,1683066,77019
WB,21,1471746,97541
WB,22,1115331,221649
WB,23,1643157,463266
WB,24,815188,732087
WB,25,569656,907248
WB,26,835366,1096734
WB,27,946725,734887
WB,28,1350077,486888
WB,29,2121735,388892
WB,30,1856470,318877
